Player,Duel_Skill,FFA_Skill,FFA_Round0,FFA_Round1,FFA_Round2,FFA_Round3,FFA_Round4,FFA_Round5,RRR,FFA
Player 1,25.0,25.0,2.39,2.85,2.79,2.66,2.53,2.38,2.63,1.44
Player 2,27.77777777777778,27.77777777777778,2.39,2.85,2.79,2.66,2.53,2.38,2.63,1.44
Player 3,30.555555555555557,30.555555555555557,2.39,2.85,2.79,2.66,2.53,2.38,2.63,1.44
Player 4,33.33333333333333,33.33333333333333,2.39,2.85,2.79,2.66,2.53,2.38,2.63,1.44
Player 5,36.111111111111114,36.111111111111114,2.39,2.85,2.79,2.66,2.53,2.38,2.63,1.44
Player 6,38.888888888888886,38.888888888888886,2.39,2.85,2.79,2.66,2.53,2.38,2.63,1.44
Player 7,41.666666666666664,41.666666666666664,2.39,2.85,2.79,2.66,2.53,2.38,2.63,1.44
Player 8,44.44444444444444,44.44444444444444,2.39,2.85,2.79,2.66,2.53,2.38,2.63,1.44
Player 9,47.22222222222222,47.22222222222222,2.39,2.85,2.79,2.66,2.53,2.38,2.63,1.44
Player 10,50.0,50.0,2.39,2.85,2.79,2.66,2.53,2.38,2.63,1.44
